Driver Name,Total LOC
s390,116378
cpufreq,36108
gpu,2130217
scsi,752167
usb,481453
staging,265502
dma,139290
infiniband,351595
base,42481
net,3834295
misc,104733
iio,329150
hv,10534
accel,88856
iommu,68674
cxl,14505
firmware,64125
bcma,5583
block,77863
media,1199465
acpi,131644
memory,32201
md,162912
clk,659818
comedi,111210
firewire,15200
virtio,12194
video,250954
xen,30093
tty,166689
pmdomain,23954
crypto,215457
greybus,9178
hwtracing,35089
leds,46638
soc,83104
pinctrl,472033
mtd,160504
rtc,77196
hsi,6295
ptp,15580
i2c,97530
i3c,12113
pci,130975
clocksource,27189
sh,3590
input,195837
hid,108352
spi,106667
watchdog,55635
interconnect,61830
fpga,16779
target,56763
mmc,117700
ras,4858
bus,27275
platform,163266
edac,49003
thermal,42983
hwmon,182511
irqchip,49736
power,92741
ps3,5130
cpuidle,7278
dax,3236
ssb,8684
char,81350
of,14849
regulator,101377
devfreq,8370
pcmcia,15844
mfd,110215
w1,12398
vfio,27751
phy,114999
accessibility,10977
soundwire,14392
macintosh,20153
pnp,7595
pwm,22734
spmi,3237
reset,9786
tc,259
eisa,571
tee,7672
nfc,23446
uio,3495
nvdimm,12752
gpio,77122
dio,426
nvmem,10786
pps,1711
nvme,46015
ufs,21826
ata,79132
virt,10102
peci,2159
atm,23056
zorro,768
parisc,9552
dca,509
rapidio,12522
slimbus,3737
mux,1068
auxdisplay,5915
nubus,1104
remoteproc,25860
rpmsg,6882
isdn,35668
thunderbolt,30165
cache,679
hwspinlock,1696
extcon,13449
vdpa,18764
gnss,1747
connector,851
siox,1060
dma-buf,8001
mcb,1017
fsi,7462
perf,39202
parport,11016
dpll,2546
vhost,11496
mailbox,17798
opp,4619
bluetooth,40407
cdx,2537
hte,1835
powercap,5187
sbus,4433
counter,8652
android,8366
ntb,15448
amba,880
most,4190
ipack,1875
memstick,7685
cdrom,4115
message,22209
idle,2218
