Driver Name,Line of Code
tc,64
dio,426
dca,509
eisa,571
cache,679
zorro,768
amba,880
mcb,1017
siox,1060
mux,1068
nubus,1104
hwspinlock,1696
pps,1711
gnss,1747
hte,1835
ipack,1875
peci,2159
idle,2218
cdx,2537
dpll,2546
dax,3236
spmi,3237
uio,3495
sh,3590
slimbus,3737
cdrom,4115
most,4190
sbus,4433
opp,4619
ras,4858
ps3,5130
powercap,5187
bcma,5583
auxdisplay,5915
hsi,6295
rpmsg,6882
cpuidle,7278
fsi,7462
pnp,7595
tee,7672
memstick,7685
dma-buf,8001
android,8366
devfreq,8370
counter,8652
ssb,8684
greybus,9178
parisc,9552
reset,9786
virt,10102
hv,10534
nvmem,10786
accessibility,10977
parport,11016
vhost,11496
i3c,12113
virtio,12194
w1,12398
rapidio,12522
nvdimm,12752
extcon,13449
soundwire,14392
cxl,14505
of,14849
firewire,15200
ntb,15448
ptp,15580
pcmcia,15844
fpga,16779
mailbox,17798
vdpa,18764
macintosh,20153
ufs,21826
message,22209
pwm,22734
atm,23056
nfc,23446
pmdomain,23954
remoteproc,25860
clocksource,27189
bus,27275
vfio,27751
xen,30093
thunderbolt,30165
memory,32201
hwtracing,35089
isdn,35668
cpufreq,36108
perf,39202
bluetooth,40407
base,42481
thermal,42983
nvme,46015
leds,46638
edac,49003
irqchip,49736
watchdog,55635
target,56763
interconnect,61830
firmware,64125
iommu,68674
gpio,77122
rtc,77196
block,77863
ata,79132
char,81350
soc,83104
accel,88856
power,92741
i2c,97530
regulator,101377
misc,104733
spi,106667
hid,108352
mfd,110215
comedi,111210
phy,114999
s390,116378
mmc,117700
pci,130975
acpi,131644
dma,139290
mtd,160504
md,162912
platform,163266
tty,167031
hwmon,182511
input,195837
crypto,215457
video,250954
staging,265502
iio,329150
infiniband,351595
pinctrl,472033
usb,481453
clk,659818
scsi,752167
media,1199465
gpu,2130217
net,3834295
